Lead Score,,Name,Phone,Email,Website,Rating,Reviews,Why This Lead,Source
MEDIUM,Yelachenahalli Station,Yelachenahalli Station,,,"https://maps.apple.com/place?q=Yelachenahalli%20Station&auid=11912159898908110724&address=Bengaluru,%20Karnataka,%20India&ll=12.8959889,77.5700672",0,0,Website but no email found; No phone found,ddg_maps
MEDIUM,Dental Clinic Bangalore,Dental Clinic Bangalore,-8041152474,,"https://maps.apple.com/place?q=Dental%20Clinic%20Bangalore&auid=7809610982973498328&address=7,%20Cambridge%20Layout,%20Halasuru,%20Bengaluru,%20560008,%20Karnataka,%20India&ll=12.969333,77.630167",0,0,Website but no email found,ddg_maps
MEDIUM,Clove Dental,Clove Dental,-4038245620,,https://clovedental.in/dentist-near-me/bengaluru/cunningham-road-bangalore,0,0,Website but no email found,ddg_maps
MEDIUM,Mukha Facial Surgery & Dental Implant Center,Mukha Facial Surgery & Dental Implant Center,-8123435969,,http://www.faciomaxillarysurgery.com,0,0,Website but no email found,ddg_maps
MEDIUM,Samiksha Dental Clinic,Samiksha Dental Clinic,-9886875772,,http://www.samikshadentalclinic.com,0,0,Website but no email found,ddg_maps
MEDIUM,Bangalore Institute Of Dental Science & Hospital,Bangalore Institute Of Dental Science & Hospital,-8041227972,,http://www.bids.edu,0,0,Website but no email found,ddg_maps
MEDIUM,"Best Dental Clinics Near Me In Yelachenahalli, Bangalore - Practo","Best Dental Clinics Near Me In Yelachenahalli, Bangalore - Practo",,,https://www.practo.com/bangalore/clinics/dental-clinics/yelachenahalli,0,0,Website but no email found; No phone found,ddg_search
MEDIUM,"Dr. Roona S Naik (32 Intact Dental Clinic), Yelachenahalli, Bangalore ...","Dr. Roona S Naik (32 Intact Dental Clinic), Yelachenahalli, Bangalore ...",,,https://www.justdial.com/Bangalore/Dr-Roona-S-Naik-32-Intact-Dental-Clinic-Opposite-Icici-Bank-Yelachenahalli/080PXX80-XX80-200705013406-M2X5_BZDET,0,0,Website but no email found; No phone found,ddg_search
MEDIUM,Best Dental Clinic In Yelachenahalli | Dental Clinic Near Me,Best Dental Clinic In Yelachenahalli | Dental Clinic Near Me,,,https://shuru.co.in/services/dental-clinic-in-yelachenahalli-bengaluru-urban,0,0,Website but no email found; No phone found,ddg_search
MEDIUM,"Top 10 Dentist In Yelachena Halli, Bangalore - Read Reviews, 2026 ...","Top 10 Dentist In Yelachena Halli, Bangalore - Read Reviews, 2026 ...",,,https://www.365doctor.in/bangalore/dentist-in-yelachena-halli,0,0,Website but no email found; No phone found,ddg_search
MEDIUM,"Best Dentists In Yelachenahalli, Bengaluru | Consult With Verified Doctors","Best Dentists In Yelachenahalli, Bengaluru | Consult With Verified Doctors",,,https://www.docgenie.in/bengaluru/dentists/yelachenahalli/,0,0,Website but no email found; No phone found,ddg_search
MEDIUM,Dr. Hiremath Hospitals +91-9591876999 | Dental Clinic In Yelachenahalli ...,Dr. Hiremath Hospitals +91-9591876999 | Dental Clinic In Yelachenahalli ...,,,https://drhiremath.in/,0,0,Website but no email found; No phone found,ddg_search
MEDIUM,"Sheekanth Dental Care In Yelachenahalli, Bangalore-560001 - Sulekha","Sheekanth Dental Care In Yelachenahalli, Bangalore-560001 - Sulekha",,,https://www.sulekha.com/sheekanth-dental-care-yelachenahalli-bangalore-contact-address,0,0,Website but no email found; No phone found,ddg_search
MEDIUM,"Dr. Shashi Kiran - Dentist In Bangalore, Instant Appointment Booking ...","Dr. Shashi Kiran - Dentist In Bangalore, Instant Appointment Booking ...",,,https://www.doctor360.in/bangalore/dentist/dr-shashi-kiran-yelachenahalli,0,0,Website but no email found; No phone found,ddg_search
MEDIUM,"112 Dental Clinics In Yelachenahalli, Bangalore - Practo","113 Dental Clinics In Yelachenahalli, Bangalore - Practo",,,c,0,0,Website but no email found; No phone found,ddg_search
MEDIUM,"Best Dental Hospitals Near Gngothri Clinic Yelachenahalli, Bangalore ...","Best Dental Hospitals Near Gngothri Clinic Yelachenahalli, Bangalore ...",,,https://www.justdial.com/Bangalore/Dental-Hospitals-in-Gngothri-Clinic-Yelachenahalli/nct-11273042,0,0,Website but no email found; No phone found,ddg_search
MEDIUM,"Clinics Dental In Yelachenahalli - Bangalore, Karnataka | A ...","Clinics Dental In Yelachenahalli - Bangalore, Karnataka | A ...",,,https://yellowpages.webindia123.com/local-dpy/Karnataka/Bangalore/Yelachenahalli/560078/Clinics-Dental-369/1/,0,0,Website but no email found; No phone found,ddg_search
MEDIUM,"Dental Clinics In Yelachenahalli - Bangalore, Karnataka | A ...","Dental Clinics In Yelachenahalli - Bangalore, Karnataka | A ...",,,https://yellowpages.webindia123.com/local-dpy/Karnataka/Bangalore/Yelachenahalli/560078/Dental-Clinics-369/1/,0,0,Website but no email found; No phone found,ddg_search
MEDIUM,Top 5 Best Dental Hospitals In Bangalore 2026 - Doctors Finder,Top 5 Best Dental Hospitals In Bangalore 2026 - Doctors Finder,,,https://www.doctorsfinder.in/articles/best-dental-hospitals-in-bangalore/,0,0,Website but no email found; No phone found,ddg_search
MEDIUM,"10 Best Dental Surgeons In Yelachenahalli, Bangalore - Clinicspots","11 Best Dental Surgeons In Yelachenahalli, Bangalore - Clinicspots",,,https://www.clinicspots.com/dental-surgeon/bangalore/yelachenahalli?page=2,0,0,Website but no email found; No phone found,ddg_search
